Classifier Class,P,R,F1,TP,FP,FN,Training Run,FP + FN,Total Words Classified,TN,TP + TN
Trained Classifier,0.8148,0.5641,0.6667,22,5,17,1,22,19134,19090,19112
Trained Classifier,0.8103,0.5465,0.6528,47,11,39,2,50,18439,18342,18389
Trained Classifier,0.7556,0.5763,0.6538,34,11,25,3,36,17446,17376,17410
Trained Classifier,0.7407,0.6061,0.6667,20,7,13,4,20,17369,17329,17349
Trained Classifier,0.6829,0.549,0.6087,28,13,23,5,36,17667,17603,17631
Trained Classifier,0.75,0.4286,0.5455,33,11,44,6,55,17473,17385,17418
Trained Classifier,0.6765,0.434,0.5287,23,11,30,7,41,18066,18002,18025
Trained Classifier,0.6667,0.52,0.5843,26,13,24,8,37,17661,17598,17624
Trained Classifier,0.75,0.5385,0.6269,42,14,36,9,50,17603,17511,17553
Trained Classifier,0.7447,0.7143,0.7292,35,12,14,10,26,17876,17815,17850
Default Classifier,0.625,0.641,0.6329,25,15,14,1,29,19134,19080,19105
Default Classifier,0.7386,0.7558,0.7471,65,23,21,2,44,18439,18330,18395
Default Classifier,0.6429,0.6102,0.6261,36,20,23,3,43,17446,17367,17403
Default Classifier,0.525,0.6364,0.5753,21,19,12,4,31,17369,17317,17338
Default Classifier,0.6034,0.6863,0.6422,35,23,16,5,39,17667,17593,17628
Default Classifier,0.6129,0.4935,0.5468,38,24,39,6,63,17473,17372,17410
Default Classifier,0.5745,0.5094,0.54,27,20,26,7,46,18066,17993,18020
Default Classifier,0.5745,0.54,0.5567,27,20,23,8,43,17661,17591,17618
Default Classifier,0.6438,0.6026,0.6225,47,26,31,9,57,17603,17499,17546
Default Classifier,0.7,0.7143,0.7071,35,15,14,10,29,17876,17812,17847
